original_index,location_name,latitude,longitude,city,state
255,Lincoln Park,42.25059,-83.17854,Lincoln Park,michigan
256,Lincoln Park,42.25059,-83.17854,Lincoln Park,michigan
257,Town of Farmington,41.72878,-72.84062,Livonia,michigan
259,Ardmore,34.17426,-97.14363,Livonia,michigan
259,Livonia,42.36837,-83.35271,Livonia,michigan
262,Adelaide Neate Rotary Park,-35.6318,150.1346,Livonia,michigan
262,Hot Spring County,34.31763,-92.94601,Livonia,michigan
266,Card,45.944,1.41134,Macomb Twp,michigan
270,Fort Mackinac,45.85307,-84.61782,Mackinac Island,michigan
273,Marquette Park,44.51055,-88.04538,Mackinac Island,michigan
274,Mission House Historical Marker,45.85056,-84.6075,Mackinac Island,michigan
275,Mission Viejo,33.60002,-117.672,Mackinac Island,michigan
275,Mission Point Baptist Church,35.41176,-94.37355,Mackinac Island,michigan
281,Madison Heights,42.48587,-83.1052,Madison Heights,michigan
281,Madison,43.07305,-89.40123,Madison Heights,michigan
282,Overland Park,38.98223,-94.67079,Madison Heights,michigan
282,Madison Heights,42.48587,-83.1052,Madison Heights,michigan
283,The Pink Palace Beach Hotel,39.54913,19.8526,Manchester,michigan
283,Manchester,53.41667,-2.25,Manchester,michigan
283,Latin Quarter,31.20074,29.91098,Manchester,michigan
285,Drummond Island Airport,46.00944,-83.73927,Manitoulin Island,michigan
285,Canada,60.10867,-113.64258,Manitoulin Island,michigan
287,Riviera District,46.30926,8.98148,Marine City,michigan
289,Big Bay,46.81576,-87.72846,Marquette,michigan
290,Old City,15.3551,44.2145,Marquette,michigan
291,Marquette County,46.66295,-87.5735,Marquette,michigan
293,McLaren Northern Michigan Hospital,45.37328,-84.96891,Marquette,michigan
300,Meadville,41.64144,-80.15145,Meadville,michigan
300,Vancleave Volunteer Fire Department Old River Road Station,30.57063,-88.65138,Meadville,michigan
301,City of Memphis,34.72673,-100.54166,Memphis,michigan
301,Richmond,37.55376,-77.46026,Memphis,michigan
303,Metamora,40.79059,-89.36064,Metamora,michigan
304,Michigan Center,42.23309,-84.32718,Michigan Center,michigan
304,Michigan,44.25029,-85.50033,Michigan Center,michigan
307,Midland County,31.86917,-102.03162,Midland,michigan
308,Midland County,31.86917,-102.03162,Midland,michigan
312,Milan,45.46427,9.18951,Milan,michigan
313,Milan,45.46427,9.18951,Milan,michigan
314,Millington,35.34147,-89.89731,Millington,michigan
315,Millington,35.34147,-89.89731,Millington,michigan
316,Millington,35.34147,-89.89731,Millington,michigan
317,Monroe County,43.16512,-77.63626,Monroe,michigan
319,Mount Clemens,42.59726,-82.87798,Mount Clemens,michigan
320,Mount Clemens,42.59726,-82.87798,Mount Clemens,michigan
321,Mount Morris,43.11864,-83.69496,Mount Morris,michigan
327,Mount Pleasant,43.59781,-84.76751,Mount Pleasant,michigan
328,Mount Pleasant,43.59781,-84.76751,Mount Pleasant,michigan
329,Amazon,7.89421,1.86057,Muskegon,michigan
330,Muskegon County,43.21919,-86.21246,Muskegon,michigan
330,North Carolina,35.50069,-80.00032,Muskegon,michigan
335,New Baltimore,42.68114,-82.73686,New Baltimore,michigan
338,Niles,41.18284,-80.76536,Niles,michigan
342,Bartın,41.58333,32.5,North Street,michigan
342,North Street Park,40.47099,-122.29528,North Street,michigan
342,Port Said,31.12339,32.41926,North Street,michigan
349,Spring Lake Park,45.10774,-93.238,Nunica,michigan
354,Royal Oak,42.48948,-83.14465,Oakland county,michigan
354,4th Arrondissement,6.3691,2.45219,Oakland county,michigan
354,Oakland County,42.66041,-83.3858,Oakland county,michigan
355,Reed City,43.87502,-85.51005,Osceola,michigan
355,Osceola County,43.37857,-95.62369,Osceola,michigan
355,Parish of Saint Ann,18.35,-77.26667,Osceola,michigan
359,City of Omer,44.04868,-83.85648,Omer,michigan
361,Township of Ossineke,44.90147,-83.70737,Ossineke,michigan
362,Otsego County,42.63376,-75.03261,Otsego,michigan
367,Oxford County,44.49977,-70.75657,Oxford,michigan
367,Michigan,44.25029,-85.50033,Oxford,michigan
368,Paulding County,41.11662,-84.5802,Paulding,michigan
369,Paulding County,41.11662,-84.5802,Paulding,michigan
372,Petoskey,45.37334,-84.95533,Petoskey,michigan
374,Town of Pinckney,43.83419,-75.78063,Pinckney,michigan
377,Burt County,41.85156,-96.3286,Pittsford,michigan
379,Michigan,44.25029,-85.50033,Plainwell,michigan
380,Plainwell,42.44004,-85.6489,Plainwell,michigan
383,Plymouth County,42.73783,-96.21404,Plymouth,michigan
387,Nice,43.70313,7.26608,Pontiac,michigan
389,Port Huron,42.97086,-82.42491,Port Huron,michigan
390,Port Huron,42.97086,-82.42491,Port Huron,michigan
390,Port Said,31.12339,32.41926,Port Huron,michigan
390,McMorran,40.3895,-83.84827,Port Huron,michigan
391,Port Huron,42.97086,-82.42491,Port Huron,michigan
391,Main Street City Park,45.42928,-122.77482,Port Huron,michigan
395,Edinburgh of the Seven Seas,-37.06757,-12.31155,Redford,michigan
399,Richland County,34.0218,-80.90304,Richland,michigan
400,Village of Richfield,43.23724,-88.24129,Richfield township,michigan
406,Rochester Hills,42.65837,-83.14993,Rochester Hills,michigan
406,Hampton County,32.77628,-81.1407,Rochester Hills,michigan
407,Rochester Hills,42.65837,-83.14993,Rochester Hills,michigan
408,Rochester Hills,42.65837,-83.14993,Rochester Hills,michigan
410,Rogers Camp,36.10856,-118.63703,Rockford,michigan
410,Pickerel Lake,45.66649,-79.29472,Rockford,michigan
410,City of Rockford,43.12672,-85.55829,Rockford,michigan
411,City of Rockford,43.12672,-85.55829,Rockford,michigan
416,Town of Detroit,44.76238,-69.31131,Romulus,michigan
